Austin Powers: International Man of Mystery	67700000.0	1997-05-02	https://en.wikipedia.org/wiki/Austin_Powers:_International_Man_of_Mystery
Twin Peaks: Fire Walk with Me	4200000.0	1992-05	https://en.wikipedia.org/wiki/Twin_Peaks:_Fire_Walk_with_Me
The Last Temptation of Christ(film)	8900000.0	1988-08-12	https://en.wikipedia.org/wiki/The_Last_Temptation_of_Christ_(film)
Labyrinth(film)	12900000.0	1986-06-27	https://en.wikipedia.org/wiki/Labyrinth_(film)
Into the Night(film)	7500000.0	1985-02-22	https://en.wikipedia.org/wiki/Into_the_Night_(film)
The Hunger(1983 film)	10200000.0	1983-04-29	https://en.wikipedia.org/wiki/The_Hunger_(1983_film)
Merry Christmas, Mr. Lawrence	2306560	1983-05-10	https://en.wikipedia.org/wiki/Merry_Christmas,_Mr._Lawrence
Ghost in the Shell(2017 film)	169800000.0	2017-03-16	https://en.wikipedia.org/wiki/Ghost_in_the_Shell_(2017_film)
Zatōichi(2003 film)	32300000.0	2003-09-02	https://en.wikipedia.org/wiki/Zat%C5%8Dichi_(2003_film)
Brother(2000 film)	15200000.0	2000-09-07	https://en.wikipedia.org/wiki/Brother_(2000_film)
Kikujiro	200920	1999-06-05	https://en.wikipedia.org/wiki/Kikujiro
Hana-bi	2300000.0	1997-09-03	https://en.wikipedia.org/wiki/Hana-bi
Johnny Mnemonic(film)	52400000	1995-05-26	https://en.wikipedia.org/wiki/Johnny_Mnemonic_(film)
Sonatine(1993 film)	58834	1993-09-10	https://en.wikipedia.org/wiki/Sonatine_(1993_film)
Yellowbeard	4300000.0	1983-06-24	https://en.wikipedia.org/wiki/Yellowbeard
The Man Who Fell to Earth	1500000.0	1976-03-18	https://en.wikipedia.org/wiki/The_Man_Who_Fell_to_Earth
The New World(2005 film)	30500000.0	2005-12-25	https://en.wikipedia.org/wiki/The_New_World_(2005_film)
Harsh Times	5967038	2005-09-11	https://en.wikipedia.org/wiki/Harsh_Times
Batman Begins	374200000.0	2005-05-31	https://en.wikipedia.org/wiki/Batman_Begins
The Machinist	8200000.0	2004-01-18	https://en.wikipedia.org/wiki/The_Machinist
Equilibrium(film)	5300000.0	2002-12-06	https://en.wikipedia.org/wiki/Equilibrium_(film)
Reign of Fire(film)	82150000.0	2002-07-12	https://en.wikipedia.org/wiki/Reign_of_Fire_(film)
Laurel Canyon(film)	4412203	2002-05-18	https://en.wikipedia.org/wiki/Laurel_Canyon_(film)
